,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kharp,100,RU,1579841085,96,66.8,65.81,7.72,1.86
1,Castro,89,BR,1579841017,99,-24.79,-50.01,57.6,3.71
2,Tasiilaq,100,GL,1579841028,61,65.61,-37.64,17.6,11.41
3,Punta Arenas,64,CL,1579841064,65,-53.15,-70.92,46.2,10.29
4,Mount Isa,40,AU,1579840931,83,-20.73,139.5,80.6,6.93
5,Dikson,100,RU,1579840960,97,73.51,80.55,-8.37,11.92
6,Hilo,90,US,1579840905,73,19.73,-155.09,70.18,4.7
7,Kenai,90,US,1579840904,65,60.55,-151.26,-1.53,6.93
8,Atuona,1,PF,1579841023,78,-9.8,-139.03,81.18,13.27
9,Great Yarmouth,87,GB,1579841088,93,52.61,1.73,42.21,3.36
10,Launceston,90,AU,1579841089,39,-41.45,147.17,66.4,24.16
11,Faanui,64,PF,1579841011,75,-16.48,-151.75,82.85,11.03
12,Yangi Marg`ilon,90,UZ,1579841089,92,40.43,71.72,27.64,4.7
13,Byron Bay,100,AU,1579841090,66,-28.65,153.62,89.24,17.22
14,Rincon,90,US,1579840810,87,32.3,-81.24,50.23,8.05
15,Cape Town,0,ZA,1579840887,77,-33.93,18.42,66.04,12.75
17,Ushuaia,40,AR,1579841007,70,-54.8,-68.3,44.6,10.29
19,Rikitea,0,PF,1579841002,81,-23.12,-134.97,78.13,18.77
20,Barrow,20,US,1579841010,68,71.29,-156.79,-16.6,9.17
21,Mehamn,75,NO,1579840918,79,71.04,27.85,21.2,17.22
22,Tessalit,39,ML,1579841093,17,20.2,1.01,67.46,8.75
23,Qaanaaq,0,GL,1579841002,51,77.48,-69.36,-13.47,9.17
25,Avarua,100,CK,1579841038,94,-21.21,-159.78,78.8,6.93
26,Kaputa,100,ZM,1579841094,94,-8.47,29.66,66.51,5.93
27,Bereda,100,ES,1579841094,100,43.27,-7.54,36.84,5.82
28,Severo-Kuril'sk,84,RU,1579840925,90,50.68,156.12,17.04,14.45
29,Mataura,98,NZ,1579841004,63,-46.19,168.86,77.74,6.55
30,Saint George,1,US,1579841044,59,37.1,-113.58,43.74,1.7
31,Hermanus,20,ZA,1579840922,78,-34.42,19.23,65.46,15.64
34,Vao,100,NC,1579841097,78,-22.67,167.48,77.52,19.71
35,New Norfolk,51,AU,1579841075,34,-42.78,147.06,67.06,20.8
36,Tuatapere,91,NZ,1579840946,60,-46.13,167.68,72.5,4.56
37,Jamestown,75,US,1579840728,43,42.1,-79.24,34.25,4.7
38,Maltahohe,0,NA,1579840994,26,-24.83,16.98,63.5,4.61
39,Hobart,70,AU,1579840818,34,-42.88,147.33,67.12,20.8
43,Port Alfred,10,ZA,1579841100,95,-33.59,26.89,64.99,3.0
45,Busselton,0,AU,1579840937,23,-33.65,115.33,88.0,18.28
46,Khandyga,14,RU,1579841101,97,62.67,135.6,-36.87,0.98
47,Siderno,40,IT,1579841101,76,38.28,16.3,54.28,8.05
48,Kaitangata,76,NZ,1579841056,74,-46.28,169.85,69.01,5.99
49,Kapaa,75,US,1579840910,64,22.08,-159.32,76.03,8.05
50,Flinders,90,AU,1579841102,65,-34.58,150.86,75.72,14.99
51,Aksarayskiy,75,RU,1579841103,86,46.79,48.01,28.33,15.66
52,Aramil,75,RU,1579841103,92,56.7,60.84,17.6,6.71
53,San Patricio,100,MX,1579841104,76,19.22,-104.7,76.3,3.78
54,Geraldton,0,AU,1579841031,29,-28.77,114.6,91.4,20.8
55,Hithadhoo,25,MV,1579841050,77,-0.6,73.08,84.79,11.92
56,Kavieng,1,PG,1579841059,73,-2.57,150.8,83.3,13.29
57,Los Llanos de Aridane,24,ES,1579841105,58,28.66,-17.92,57.22,10.29
58,Tuktoyaktuk,75,CA,1579840956,76,69.45,-133.04,-9.4,9.17
59,Bredasdorp,78,ZA,1579841021,88,-34.53,20.04,64.89,3.36
60,Zyryanskoye,100,RU,1579841106,92,56.83,86.63,28.81,14.36
63,Sorkjosen,70,NO,1579841107,68,69.8,20.93,35.35,24.11
64,Niquero,11,CU,1579841107,87,20.04,-77.58,62.35,6.53
65,Vanderhoof,98,CA,1579841108,96,54.02,-124.02,30.16,3.0
68,Butaritari,67,KI,1579840935,72,3.07,172.79,83.71,7.65
69,Albany,90,US,1579840946,68,42.6,-73.97,24.42,1.74
70,Hasaki,75,JP,1579841058,76,35.73,140.83,55.98,3.36
71,De-Kastri,100,RU,1579841110,87,51.47,140.78,4.55,7.54
72,Port Hardy,90,CA,1579841111,100,50.7,-127.42,46.4,11.41
73,Olafsvik,100,IS,1579841111,68,64.89,-23.71,31.14,20.29
74,Warmbad,0,NA,1579841111,49,-28.45,18.73,65.16,11.25
75,Araouane,97,ML,1579841112,12,18.9,-3.53,71.53,3.6
76,Saskylakh,75,RU,1579841026,91,71.92,114.08,-33.56,16.02
77,Kamenka,8,RU,1579841043,91,51.32,42.77,10.42,1.01
78,Itakyry,16,PY,1579841113,98,-24.93,-55.22,63.12,2.71
79,Antofagasta,37,CL,1579841079,78,-23.65,-70.4,71.6,3.36
80,Ancud,1,CL,1579840928,87,-41.87,-73.82,50.0,2.24
81,Dunda,100,TZ,1579841114,98,-8.12,34.25,67.03,1.99
82,Altay,68,CN,1579841114,78,47.87,88.12,19.08,3.49
83,Thompson,5,CA,1579841077,84,55.74,-97.86,5.0,5.82
84,Batemans Bay,0,AU,1579840969,66,-35.72,150.18,78.71,1.99
85,Torbay,90,CA,1579840953,86,47.67,-52.73,29.68,18.34
86,Hamilton,90,US,1579840971,100,39.18,-84.53,37.98,9.17
87,Mombasa,75,KE,1579841116,94,-4.05,39.66,78.8,3.36
88,Srednekolymsk,99,RU,1579841035,98,67.45,153.68,-34.13,3.69
89,Padang,69,ID,1579840924,78,-0.95,100.35,80.11,1.16
90,Norman Wells,90,CA,1579841117,76,65.28,-126.83,-5.8,8.05
91,Ribeira Grande,30,PT,1579841117,71,38.52,-28.7,52.47,5.14
92,Inuvik,90,CA,1579840943,76,68.35,-133.72,-5.8,8.05
93,Port Macquarie,77,AU,1579840978,65,-31.43,152.92,85.93,1.16
