,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kharp,100,RU,1579841085,96,66.8,65.81,7.72,1.86
2,Tasiilaq,100,GL,1579841028,61,65.61,-37.64,17.6,11.41
5,Dikson,100,RU,1579840960,97,73.51,80.55,-8.37,11.92
6,Hilo,90,US,1579840905,73,19.73,-155.09,70.18,4.7
7,Kenai,90,US,1579840904,65,60.55,-151.26,-1.53,6.93
9,Great Yarmouth,87,GB,1579841088,93,52.61,1.73,42.21,3.36
12,Yangi Marg`ilon,90,UZ,1579841089,92,40.43,71.72,27.64,4.7
14,Rincon,90,US,1579840810,87,32.3,-81.24,50.23,8.05
20,Barrow,20,US,1579841010,68,71.29,-156.79,-16.6,9.17
21,Mehamn,75,NO,1579840918,79,71.04,27.85,21.2,17.22
22,Tessalit,39,ML,1579841093,17,20.2,1.01,67.46,8.75
23,Qaanaaq,0,GL,1579841002,51,77.48,-69.36,-13.47,9.17
27,Bereda,100,ES,1579841094,100,43.27,-7.54,36.84,5.82
28,Severo-Kuril'sk,84,RU,1579840925,90,50.68,156.12,17.04,14.45
30,Saint George,1,US,1579841044,59,37.1,-113.58,43.74,1.7
37,Jamestown,75,US,1579840728,43,42.1,-79.24,34.25,4.7
46,Khandyga,14,RU,1579841101,97,62.67,135.6,-36.87,0.98
47,Siderno,40,IT,1579841101,76,38.28,16.3,54.28,8.05
49,Kapaa,75,US,1579840910,64,22.08,-159.32,76.03,8.05
51,Aksarayskiy,75,RU,1579841103,86,46.79,48.01,28.33,15.66
52,Aramil,75,RU,1579841103,92,56.7,60.84,17.6,6.71
53,San Patricio,100,MX,1579841104,76,19.22,-104.7,76.3,3.78
57,Los Llanos de Aridane,24,ES,1579841105,58,28.66,-17.92,57.22,10.29
58,Tuktoyaktuk,75,CA,1579840956,76,69.45,-133.04,-9.4,9.17
60,Zyryanskoye,100,RU,1579841106,92,56.83,86.63,28.81,14.36
63,Sorkjosen,70,NO,1579841107,68,69.8,20.93,35.35,24.11
64,Niquero,11,CU,1579841107,87,20.04,-77.58,62.35,6.53
65,Vanderhoof,98,CA,1579841108,96,54.02,-124.02,30.16,3.0
68,Butaritari,67,KI,1579840935,72,3.07,172.79,83.71,7.65
69,Albany,90,US,1579840946,68,42.6,-73.97,24.42,1.74
70,Hasaki,75,JP,1579841058,76,35.73,140.83,55.98,3.36
71,De-Kastri,100,RU,1579841110,87,51.47,140.78,4.55,7.54
72,Port Hardy,90,CA,1579841111,100,50.7,-127.42,46.4,11.41
73,Olafsvik,100,IS,1579841111,68,64.89,-23.71,31.14,20.29
75,Araouane,97,ML,1579841112,12,18.9,-3.53,71.53,3.6
76,Saskylakh,75,RU,1579841026,91,71.92,114.08,-33.56,16.02
77,Kamenka,8,RU,1579841043,91,51.32,42.77,10.42,1.01
82,Altay,68,CN,1579841114,78,47.87,88.12,19.08,3.49
83,Thompson,5,CA,1579841077,84,55.74,-97.86,5.0,5.82
85,Torbay,90,CA,1579840953,86,47.67,-52.73,29.68,18.34
86,Hamilton,90,US,1579840971,100,39.18,-84.53,37.98,9.17
88,Srednekolymsk,99,RU,1579841035,98,67.45,153.68,-34.13,3.69
90,Norman Wells,90,CA,1579841117,76,65.28,-126.83,-5.8,8.05
