,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,Castro,89,BR,1579841017,99,-24.79,-50.01,57.6,3.71
3,Punta Arenas,64,CL,1579841064,65,-53.15,-70.92,46.2,10.29
4,Mount Isa,40,AU,1579840931,83,-20.73,139.5,80.6,6.93
8,Atuona,1,PF,1579841023,78,-9.8,-139.03,81.18,13.27
10,Launceston,90,AU,1579841089,39,-41.45,147.17,66.4,24.16
11,Faanui,64,PF,1579841011,75,-16.48,-151.75,82.85,11.03
13,Byron Bay,100,AU,1579841090,66,-28.65,153.62,89.24,17.22
15,Cape Town,0,ZA,1579840887,77,-33.93,18.42,66.04,12.75
17,Ushuaia,40,AR,1579841007,70,-54.8,-68.3,44.6,10.29
19,Rikitea,0,PF,1579841002,81,-23.12,-134.97,78.13,18.77
25,Avarua,100,CK,1579841038,94,-21.21,-159.78,78.8,6.93
26,Kaputa,100,ZM,1579841094,94,-8.47,29.66,66.51,5.93
29,Mataura,98,NZ,1579841004,63,-46.19,168.86,77.74,6.55
31,Hermanus,20,ZA,1579840922,78,-34.42,19.23,65.46,15.64
34,Vao,100,NC,1579841097,78,-22.67,167.48,77.52,19.71
35,New Norfolk,51,AU,1579841075,34,-42.78,147.06,67.06,20.8
36,Tuatapere,91,NZ,1579840946,60,-46.13,167.68,72.5,4.56
38,Maltahohe,0,NA,1579840994,26,-24.83,16.98,63.5,4.61
39,Hobart,70,AU,1579840818,34,-42.88,147.33,67.12,20.8
43,Port Alfred,10,ZA,1579841100,95,-33.59,26.89,64.99,3.0
45,Busselton,0,AU,1579840937,23,-33.65,115.33,88.0,18.28
48,Kaitangata,76,NZ,1579841056,74,-46.28,169.85,69.01,5.99
50,Flinders,90,AU,1579841102,65,-34.58,150.86,75.72,14.99
54,Geraldton,0,AU,1579841031,29,-28.77,114.6,91.4,20.8
55,Hithadhoo,25,MV,1579841050,77,-0.6,73.08,84.79,11.92
56,Kavieng,1,PG,1579841059,73,-2.57,150.8,83.3,13.29
59,Bredasdorp,78,ZA,1579841021,88,-34.53,20.04,64.89,3.36
74,Warmbad,0,NA,1579841111,49,-28.45,18.73,65.16,11.25
78,Itakyry,16,PY,1579841113,98,-24.93,-55.22,63.12,2.71
79,Antofagasta,37,CL,1579841079,78,-23.65,-70.4,71.6,3.36
80,Ancud,1,CL,1579840928,87,-41.87,-73.82,50.0,2.24
81,Dunda,100,TZ,1579841114,98,-8.12,34.25,67.03,1.99
84,Batemans Bay,0,AU,1579840969,66,-35.72,150.18,78.71,1.99
87,Mombasa,75,KE,1579841116,94,-4.05,39.66,78.8,3.36
89,Padang,69,ID,1579840924,78,-0.95,100.35,80.11,1.16
