,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,barentsburg - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
8,amderma - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
12,chagda - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
44,taolanaro - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
46,kadykchan - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
60,samusu - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
61,grand river south east - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
146,illoqqortoormiut - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
152,sentyabrskiy - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
161,belushya guba - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
177,tsihombe - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
201,ondorhaan - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
204,kamenskoye - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
205,wulanhaote - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
242,vaitupu - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
257,saleilua - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
273,burica - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
275,coalcoman - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
308,saleaula - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
335,samalaeulu - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
338,karkaralinsk - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
339,marv dasht - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
365,taburi - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
370,meyungs - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
380,tingrela - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
386,attawapiskat - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
391,mys shmidta - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
412,os - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
425,paradwip - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
428,artyk - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
436,palabuhanratu - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
449,jinchengjiang - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
467,gumushane - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
489,riaba - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
509,hihifo - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
511,hunza - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
513,fevralsk - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
527,kawana waters - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
528,rungata - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
530,lolua - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
536,uniao da victoria - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
538,marcona - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
541,tawkar - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
575,nizhneyansk - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
590,yialos - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
600,shchelyayur - city not found,0,city not found,0,0,0.0,0.0,0.0,0.0
