,0
0,71.92
1,-32.95
2,40.12
3,-21.2
4,68.05
5,-54.8
6,37.81
7,28.68
8,10.53
9,-33.59
10,38.25
11,42.6
12,-23.12
13,28.97
14,-42.88
15,-15.53
16,43.65
17,-8.1
18,-16.48
19,40.6
20,-46.6
21,-8.11
22,-33.65
23,5.41
24,68.35
25,-38.0
26,-20.52
27,46.43
28,62.46
29,58.45
30,-20.33
31,19.73
32,55.74
33,56.7
34,51.38
35,-46.19
36,-3.59
37,16.33
38,-25.4
39,-33.02
40,64.38
41,77.48
42,-27.16
43,-22.97
44,-10.41
45,-42.78
46,55.1
47,-20.74
48,64.89
49,-21.37
50,70.47
51,-9.8
52,-16.62
53,-33.93
54,47.67
55,17.21
56,78.22
57,61.25
58,41.76
59,41.37
60,50.72
61,-24.79
62,62.53
63,24.69
64,14.9
65,-21.36
66,-40.81
67,-30.65
68,35.73
69,13.22
70,-14.1
71,37.72
72,38.89
73,-22.67
74,5.41
75,65.58
76,23.45
77,71.97
78,22.08
79,-21.21
80,-33.7
81,60.45
82,41.21
83,-19.55
84,40.81
85,-8.93
86,-53.15
87,68.75
88,32.67
89,-10.27
90,-20.73
91,37.1
92,59.7
93,-1.4
94,-6.2
95,36.09
96,71.29
97,20.89
98,59.7
99,-3.94
100,70.37
101,-35.35
102,-30.18
103,69.22
104,-5.2
105,59.06
106,22.68
107,11.67
108,26.28
109,73.51
110,-20.41
111,-34.42
112,29.97
113,47.18
114,-2.02
115,-3.2
116,46.42
117,-21.64
118,-3.68
119,51.1
120,4.14
121,10.26
122,67.63
123,-33.01
124,14.89
125,5.37
126,-19.76
127,-34.53
128,63.05
129,-34.02
130,10.88
131,-0.6
132,-1.98
133,66.04
134,-27.37
135,42.16
136,6.88
137,-26.65
138,6.5
139,28.66
140,-38.27
141,66.08
142,66.32
143,61.38
144,65.68
145,69.7
146,-8.35
147,59.24
148,0.54
149,-4.94
150,21.02
151,34.77
152,8.25
153,50.68
154,22.89
155,40.28
156,59.55
157,61.99
158,42.1
159,65.61
160,18.33
161,4.62
162,40.16
163,-45.58
164,-12.23
165,69.45
166,32.03
167,11.28
168,38.52
169,-20.21
170,66.2
171,54.34
172,57.79
173,66.83
174,54.63
175,8.57
176,-20.57
177,-17.83
178,-45.42
179,45.02
180,12.52
181,36.62
182,37.46
183,-30.32
184,-21.57
185,-43.3
186,46.68
187,30.31
188,-33.75
189,3.81
190,42.78
191,-8.65
192,16.64
193,-0.74
194,14.92
195,67.67
196,19.38
197,17.02
198,-25.17
199,-3.2
200,72.79
201,-16.92
202,66.56
203,-17.8
204,57.05
205,60.75
206,20.2
207,71.69
208,-13.73
209,30.0
210,-23.32
211,-18.06
212,14.75
213,31.78
214,63.44
215,-3.8
216,-35.17
217,-37.62
218,6.71
219,40.8
220,-11.78
221,62.23
222,17.49
223,-35.35
224,-34.0
225,-6.13
226,-33.87
227,15.45
228,20.52
229,65.28
230,47.33
231,41.17
232,-17.88
233,-8.14
234,44.37
235,13.07
236,53.14
237,9.52
238,57.56
239,-7.26
240,-25.24
241,8.6
242,50.28
243,43.83
244,-28.77
245,32.77
246,64.84
247,-11.18
248,29.96
249,32.38
250,6.12
251,69.38
252,49.2
253,42.04
254,62.78
255,66.0
256,5.95
257,28.37
258,41.0
259,25.29
260,-8.77
261,-4.36
262,-1.46
263,33.9
264,70.86
265,-36.72
266,46.53
267,-32.25
268,-34.73
269,-9.11
270,39.45
271,60.92
272,49.6
273,30.48
274,-46.13
275,3.3
276,20.93
277,43.51
278,68.05
279,-19.98
280,19.35
281,-16.52
282,66.03
283,-30.6
284,0.53
285,45.06
286,49.79
287,66.77
288,-29.95
289,4.42
290,31.21
291,63.61
292,59.45
293,-10.07
294,65.42
295,57.31
296,51.46
297,-24.87
298,53.6
299,4.93
300,17.89
301,-3.48
302,48.65
303,0.13
304,-30.52
305,-34.57
306,-38.65
307,1.57
308,-41.87
309,48.14
310,-6.31
311,38.2
312,16.52
313,5.89
314,35.3
315,20.26
316,-23.86
317,-12.73
318,53.67
319,25.48
320,48.38
321,-17.73
322,21.35
323,46.1
324,64.75
325,40.43
326,-6.12
327,9.27
328,3.07
329,38.42
330,39.72
331,58.6
332,38.93
333,70.63
334,57.84
335,66.15
336,65.82
337,-33.92
338,63.84
339,-20.01
340,19.22
341,36.04
342,-17.35
343,-13.7
344,30.33
345,35.6
346,60.37
347,19.28
348,-10.03
349,22.57
350,65.98
351,37.57
352,-32.03
353,39.36
354,41.48
355,-34.67
356,33.28
357,-8.9
358,4.18
359,65.85
360,-7.95
361,19.22
362,14.2
363,5.78
364,58.38
365,-6.43
366,54.77
367,15.13
368,36.87
369,-5.13
370,66.4
371,10.99
372,-35.72
373,-25.17
374,53.65
375,-8.47
376,5.65
377,20.45
378,17.65
379,-45.87
380,-2.57
381,32.69
382,21.3
383,-21.34
384,-34.65
385,20.87
386,68.71
387,-10.62
388,39.83
389,53.05
390,55.34
391,47.67
392,40.52
393,48.0
394,65.99
395,-4.24
396,-28.87
397,24.77
398,-34.48
399,-46.28
400,18.8
401,42.8
402,62.15
403,38.24
404,-16.23
405,-6.88
406,-19.06
407,-3.67
408,-28.65
409,52.05
410,58.81
411,4.38
412,11.28
413,11.0
414,1.33
415,44.08
416,42.25
417,36.21
418,-10.17
419,-17.71
420,28.99
421,-20.32
422,48.35
423,46.49
424,63.75
425,23.45
426,48.83
427,-20.02
428,35.15
429,34.64
430,41.18
431,36.85
432,-5.11
433,0.05
434,-7.06
435,3.94
436,67.45
437,56.17
438,70.02
439,-31.43
440,-32.5
441,54.15
442,-32.27
443,3.87
444,48.69
445,36.87
446,51.68
447,-13.85
448,41.62
449,48.77
450,-41.45
451,22.29
452,11.1
453,-1.2
454,-16.81
455,31.77
456,68.22
457,-28.24
458,45.52
459,-22.45
460,69.3
461,51.42
462,38.73
463,18.53
464,51.26
465,56.45
466,-41.15
467,36.68
468,40.18
469,-3.28
470,-7.44
471,-14.8
472,-2.12
473,-37.83
474,-14.27
475,-8.47
476,-12.02
477,33.73
478,60.14
479,12.18
480,36.1
481,-3.74
482,63.73
483,53.23
484,61.15
485,-31.95
486,34.23
487,5.21
488,30.37
489,50.1
490,-14.25
491,61.21
492,43.2
493,1.74
494,48.1
495,67.86
496,38.58
497,56.13
498,21.47
499,8.08
500,57.69
501,20.5
502,65.83
503,59.94
504,52.63
505,64.5
506,-20.28
507,-4.55
508,50.23
509,50.17
510,-2.85
511,42.94
512,42.86
513,25.28
514,44.76
515,29.9
516,20.86
517,60.38
518,64.25
519,-4.88
520,-9.35
521,-4.98
522,41.0
523,9.32
524,34.88
525,27.31
526,17.68
527,3.12
528,66.94
529,-30.72
530,61.99
531,39.15
532,-0.61
533,41.53
534,39.18
535,37.8
536,18.74
537,39.05
538,53.1
539,-5.36
540,-20.34
541,37.73
542,-16.37
543,33.6
544,43.56
545,59.27
546,34.98
547,32.35
548,-21.43
549,14.4
550,5.38
551,8.99
552,68.31
553,-18.17
554,34.04
555,26.59
556,12.48
557,44.2
558,63.45
559,52.52
560,46.25
561,-22.0
562,-3.6
563,7.77
564,71.04
565,45.29
