,0
0,-33.39
1,72.68
2,23.0
3,82.4
4,26.56
5,44.6
6,39.11
7,59.0
8,77.0
9,68.22
10,35.13
11,14.56
12,78.84
13,60.8
14,81.61
15,86.0
16,17.2
17,81.03
18,82.38
19,48.92
20,74.62
21,71.37
22,73.2
23,84.0
24,-18.4
25,66.45
26,77.43
27,32.0
28,-11.11
29,-22.22
30,72.82
31,71.56
32,15.8
33,-12.98
34,36.05
35,77.95
36,64.85
37,72.39
38,60.33
39,68.9
40,10.4
41,-14.67
42,92.26
43,74.59
44,78.6
45,81.55
46,28.4
47,86.34
48,42.1
49,74.62
50,-4.0
51,81.01
52,68.25
53,62.98
54,11.08
55,80.1
56,6.8
57,3.2
58,21.99
59,19.99
60,4.23
61,62.6
62,-29.2
63,59.0
64,69.31
65,74.61
66,67.71
67,66.69
68,41.92
69,75.2
70,71.71
71,57.2
72,27.03
73,77.68
74,84.0
75,1.67
76,68.36
77,-24.86
78,77.81
79,78.8
80,72.41
81,27.34
82,58.06
83,82.4
84,36.43
85,82.94
86,51.42
87,-20.52
88,54.03
89,73.4
90,91.4
91,43.3
92,-8.12
93,76.93
94,72.82
95,51.3
96,5.0
97,75.4
98,33.48
99,86.68
100,26.78
101,86.0
102,74.88
103,8.6
104,78.8
105,-3.28
106,61.45
107,81.39
108,54.82
109,-12.28
110,77.43
111,66.0
112,39.2
113,26.47
114,83.79
115,72.81
116,27.16
117,73.02
118,78.53
119,15.91
120,80.96
121,77.31
122,-26.68
123,66.2
124,69.8
125,84.02
126,71.6
127,66.11
128,-9.99
129,66.2
130,75.09
131,83.64
132,73.2
133,39.2
134,66.2
135,12.51
136,82.38
137,64.4
138,80.6
139,59.0
140,64.27
141,-1.08
142,-13.9
143,-30.87
144,39.2
145,-13.65
146,81.91
147,-3.55
148,89.1
149,89.13
150,60.31
151,35.6
152,72.43
153,18.63
154,68.79
155,18.59
156,36.64
157,24.69
158,18.84
159,23.0
160,77.09
161,63.72
162,45.73
163,59.0
164,87.8
165,-27.4
166,27.7
167,76.37
168,54.82
169,77.5
170,33.76
171,-5.51
172,30.2
173,4.28
174,31.55
175,77.72
176,76.42
177,55.54
178,61.09
179,16.48
180,78.8
181,52.45
182,53.15
183,97.83
184,74.07
185,66.15
186,10.35
187,42.01
188,70.0
189,65.57
190,48.4
191,87.8
192,71.42
193,77.0
194,69.8
195,37.4
196,68.63
197,68.0
198,69.06
199,77.94
200,1.67
201,66.45
202,5.63
203,77.0
204,35.08
205,10.65
206,66.56
207,-25.53
208,63.12
209,41.25
210,67.08
211,67.78
212,71.55
213,44.1
214,45.01
215,89.33
216,79.0
217,57.81
218,86.0
219,48.88
220,62.44
221,42.8
222,53.6
223,88.38
224,63.77
225,79.99
226,62.6
227,54.61
228,58.42
229,-18.4
230,6.87
231,23.43
232,74.28
233,83.39
234,29.26
235,75.2
236,-0.96
237,79.63
238,28.63
